Periood;Tarbimine;Teenus
01.06.2026 00:00;0,365;elering
01.06.2026 01:00;0,26;elering
01.06.2026 02:00;0,199;elering
01.06.2026 03:00;0,226;elering
01.06.2026 04:00;0,204;elering
01.06.2026 05:00;0,258;elering
01.06.2026 06:00;0,236;elering
01.06.2026 07:00;0,213;elering
01.06.2026 08:00;0,202;elering
01.06.2026 09:00;0,597;elering
01.06.2026 10:00;0,388;elering
01.06.2026 11:00;0,323;elering
01.06.2026 12:00;0,309;elering
01.06.2026 13:00;0,634;elering
01.06.2026 14:00;0,314;elering
01.06.2026 15:00;0,345;elering
01.06.2026 16:00;0,948;elering
01.06.2026 17:00;0,324;elering
01.06.2026 18:00;0,296;elering
01.06.2026 19:00;0,331;elering
01.06.2026 20:00;0,287;elering
01.06.2026 21:00;0,336;elering
01.06.2026 22:00;0,303;elering
01.06.2026 23:00;0,334;elering
02.06.2026 00:00;0,27;elering
02.06.2026 01:00;0,254;elering
02.06.2026 02:00;0,259;elering
02.06.2026 03:00;0,24;elering
02.06.2026 04:00;0,216;elering
02.06.2026 05:00;0,201;elering
02.06.2026 06:00;0,212;elering
02.06.2026 07:00;0,248;elering
02.06.2026 08:00;0,234;elering
02.06.2026 09:00;0,227;elering
02.06.2026 10:00;0,318;elering
02.06.2026 11:00;0,305;elering
02.06.2026 12:00;0,349;elering
02.06.2026 13:00;0,447;elering
02.06.2026 14:00;0,368;elering
02.06.2026 15:00;0,334;elering
02.06.2026 16:00;0,342;elering
02.06.2026 17:00;0,355;elering
02.06.2026 18:00;0,344;elering
02.06.2026 19:00;0,3;elering
02.06.2026 20:00;0,33;elering
02.06.2026 21:00;0,33;elering
02.06.2026 22:00;0,293;elering
02.06.2026 23:00;0,271;elering
03.06.2026 00:00;0,754;elering
03.06.2026 01:00;0,244;elering
03.06.2026 02:00;0,203;elering
03.06.2026 03:00;0,203;elering
03.06.2026 04:00;0,225;elering
03.06.2026 05:00;0,189;elering
03.06.2026 06:00;0,231;elering
03.06.2026 07:00;0,301;elering
03.06.2026 08:00;0,204;elering
03.06.2026 09:00;0,247;elering
03.06.2026 10:00;0,465;elering
03.06.2026 11:00;0,774;elering
03.06.2026 12:00;0,305;elering
03.06.2026 13:00;0,352;elering
03.06.2026 14:00;1,022;elering
03.06.2026 15:00;0,728;elering
03.06.2026 16:00;0,474;elering
03.06.2026 17:00;0,324;elering
03.06.2026 18:00;0,283;elering
03.06.2026 19:00;0,279;elering
03.06.2026 20:00;0,264;elering
03.06.2026 21:00;0,242;elering
03.06.2026 22:00;0,282;elering
03.06.2026 23:00;0,268;elering
04.06.2026 00:00;0,307;elering
04.06.2026 01:00;0,29;elering
04.06.2026 02:00;0,263;elering
04.06.2026 03:00;0,254;elering
04.06.2026 04:00;0,259;elering
04.06.2026 05:00;0,23;elering
04.06.2026 06:00;0,265;elering
04.06.2026 07:00;0,261;elering
04.06.2026 08:00;0,259;elering
04.06.2026 09:00;0,333;elering
04.06.2026 10:00;0,798;elering
04.06.2026 11:00;0,533;elering
04.06.2026 12:00;0,998;elering
04.06.2026 13:00;0,545;elering
04.06.2026 14:00;0,491;elering
04.06.2026 15:00;0,663;elering
04.06.2026 16:00;0,527;elering
04.06.2026 17:00;0,342;elering
04.06.2026 18:00;0,525;elering
04.06.2026 19:00;0,522;elering
04.06.2026 20:00;0,408;elering
04.06.2026 21:00;0,517;elering
04.06.2026 22:00;0,296;elering
04.06.2026 23:00;0,313;elering
05.06.2026 00:00;0,329;elering
05.06.2026 01:00;0,255;elering
05.06.2026 02:00;0,297;elering
05.06.2026 03:00;0,228;elering
05.06.2026 04:00;0,221;elering
05.06.2026 05:00;1,812;elering
05.06.2026 06:00;1,631;elering
05.06.2026 07:00;1,622;elering
05.06.2026 08:00;0,825;elering
05.06.2026 09:00;0,382;elering
05.06.2026 10:00;0,404;elering
05.06.2026 11:00;0,354;elering
05.06.2026 12:00;0,575;elering
05.06.2026 13:00;0,37;elering
05.06.2026 14:00;0,819;elering
05.06.2026 15:00;0,507;elering
05.06.2026 16:00;0,512;elering
05.06.2026 17:00;0,396;elering
05.06.2026 18:00;0,368;elering
05.06.2026 19:00;0,445;elering
05.06.2026 20:00;0,807;elering
05.06.2026 21:00;0,353;elering
05.06.2026 22:00;0,351;elering
05.06.2026 23:00;0,35;elering
06.06.2026 00:00;0,367;elering
06.06.2026 01:00;0,338;elering
06.06.2026 02:00;0,324;elering
06.06.2026 03:00;0,768;elering
06.06.2026 04:00;0,27;elering
06.06.2026 05:00;0,246;elering
06.06.2026 06:00;0,22;elering
06.06.2026 07:00;0,236;elering
06.06.2026 08:00;0,405;elering
06.06.2026 09:00;0,83;elering
06.06.2026 10:00;0,329;elering
06.06.2026 11:00;0,87;elering
06.06.2026 12:00;0,469;elering
06.06.2026 13:00;0,33;elering
06.06.2026 14:00;0,374;elering
06.06.2026 15:00;0,37;elering
06.06.2026 16:00;0,892;elering
06.06.2026 17:00;0,424;elering
06.06.2026 18:00;0,377;elering
06.06.2026 19:00;0,35;elering
06.06.2026 20:00;0,35;elering
06.06.2026 21:00;0,351;elering
06.06.2026 22:00;0,819;elering
06.06.2026 23:00;0,353;elering
07.06.2026 00:00;0,248;elering
07.06.2026 01:00;0,261;elering
07.06.2026 02:00;0,224;elering
07.06.2026 03:00;0,229;elering
07.06.2026 04:00;0,235;elering
07.06.2026 05:00;0,672;elering
07.06.2026 06:00;0,21;elering
07.06.2026 07:00;1,116;elering
07.06.2026 08:00;0,3;elering
07.06.2026 09:00;0,339;elering
07.06.2026 10:00;0,444;elering
07.06.2026 11:00;0,934;elering
07.06.2026 12:00;0,624;elering
07.06.2026 13:00;0,348;elering
07.06.2026 14:00;0,347;elering
07.06.2026 15:00;0,345;elering
07.06.2026 16:00;0,301;elering
07.06.2026 17:00;1,278;elering
